,followersCount,followsCount,highlightReelCount,postsCount,med_likes,status,user_digits,full_len,full_characters,full_digits,bio_len,bio_emojis
582,798.0,456.0,5.0,29.0,85.0,1,0,19,0,0,112,14
583,21.0,0.0,0.0,0.0,,1,0,0,0,0,0,0
584,1052.0,495.0,0.0,26.0,55.5,1,0,18,0,0,67,3
585,102.0,7159.0,0.0,22.0,1.0,0,2,0,0,0,0,0
586,2098.0,895.0,10.0,178.0,81.0,1,0,11,0,0,90,4
587,698.0,1375.0,0.0,9.0,116.0,1,0,15,0,0,64,0
588,434.0,570.0,1.0,35.0,34.0,1,0,21,0,0,112,0
589,237.0,5931.0,0.0,4.0,38.5,0,1,0,0,0,0,0
590,3533.0,804.0,0.0,3.0,,1,0,12,0,0,111,2
591,190.0,875.0,0.0,5.0,2.0,0,1,0,0,0,0,0
592,86.0,1994.0,0.0,6.0,4.5,0,4,6,0,0,8,0
593,813313.0,164.0,0.0,942.0,576.0,1,0,16,0,0,61,0
594,81.0,3895.0,0.0,9.0,2.0,0,3,0,0,0,0,0
595,240.0,6179.0,0.0,24.0,19.0,0,2,10,9,0,25,0
596,308021.0,2781.0,6.0,3547.0,942.0,1,0,13,0,0,114,0
597,2903.0,989.0,0.0,98.0,106.0,1,0,12,0,0,126,5
598,558.0,240.0,0.0,0.0,,0,4,0,0,0,41,0
599,541.0,606.0,1.0,5.0,69.0,1,0,19,1,0,0,0
600,35500.0,476.0,1.0,234.0,1049.5,1,0,16,0,0,105,0
601,479059.0,1666.0,6.0,937.0,6322.0,1,0,11,0,0,120,0
602,2831.0,3091.0,0.0,33.0,,1,0,22,11,0,67,8
603,90.0,4991.0,0.0,7.0,,0,8,7,0,0,0,0
604,3990354.0,296.0,0.0,880.0,82282.0,1,0,17,1,0,0,0
605,4726.0,1509.0,7.0,117.0,192.5,1,0,15,0,0,126,2
606,134.0,4554.0,0.0,10.0,2.0,0,0,0,0,0,0,0
607,79.0,6126.0,0.0,4.0,3.0,0,3,0,0,0,0,0
608,51.0,1957.0,0.0,4.0,1.0,0,4,9,1,4,0,0
609,2578.0,2581.0,0.0,23.0,,0,0,0,0,0,124,3
610,91.0,5696.0,0.0,22.0,1.0,0,2,3,3,0,48,0
611,92.0,6327.0,0.0,16.0,5.0,0,4,0,0,0,0,0
612,6522.0,2062.0,5.0,160.0,767.5,1,0,24,1,0,109,2
613,75.0,1973.0,0.0,4.0,2.0,0,0,0,0,0,0,0
614,179.0,363.0,0.0,0.0,,0,0,5,0,0,10,0
615,239765.0,114.0,11.0,623.0,2577.5,1,0,8,0,0,126,5
616,9356.0,780.0,3.0,139.0,456.0,1,0,13,0,0,69,2
617,15925.0,629.0,5.0,130.0,1090.0,1,0,5,1,0,62,1
618,94.0,5940.0,0.0,9.0,1.0,0,1,0,0,0,0,0
619,82.0,5083.0,0.0,23.0,2.0,0,4,4,0,0,38,0
620,93.0,3631.0,0.0,10.0,1.5,0,0,0,0,0,28,0
621,614.0,917.0,3.0,111.0,35.0,1,0,10,0,0,33,3
622,38.0,318.0,0.0,24.0,0.0,0,3,0,0,0,0,0
623,72.0,1062.0,0.0,29.0,0.0,0,2,0,0,0,0,0
624,331.0,0.0,0.0,0.0,,1,0,12,0,0,0,0
625,84.0,6135.0,0.0,4.0,,0,6,5,5,0,57,4
626,6.0,23.0,0.0,0.0,,0,3,5,0,0,60,12
627,969.0,993.0,8.0,3.0,161.0,1,0,13,0,0,16,1
628,218.0,221.0,1.0,46.0,24.5,1,0,26,0,0,46,0
629,120.0,1480.0,1.0,9.0,29.0,0,0,4,0,0,35,3
630,5.0,0.0,0.0,0.0,,0,3,7,0,0,0,0
631,2663.0,1440.0,0.0,80.0,,1,0,21,1,0,5,5
632,81.0,2191.0,0.0,14.0,1.0,0,4,0,0,0,0,0
633,323260.0,611.0,5.0,93.0,8376.0,1,0,10,0,0,98,0
634,1116.0,1016.0,0.0,49.0,,1,0,8,0,0,0,0
635,5565.0,4172.0,3.0,45.0,114.0,0,4,8,1,0,0,0
636,100.0,6220.0,0.0,4.0,6.5,0,1,0,0,0,0,0
637,1042.0,2961.0,0.0,63.0,87.0,1,0,15,0,0,43,0
638,1596689.0,564.0,0.0,43.0,50317.0,1,0,4,1,0,44,3
639,74880.0,2708.0,17.0,1845.0,1146.5,1,0,11,0,0,130,0
640,1691.0,630.0,2.0,0.0,,1,0,12,0,0,55,9
641,146.0,6547.0,0.0,10.0,1.0,0,4,0,0,0,0,0
642,1613.0,938.0,7.0,4.0,379.0,1,0,10,1,0,97,3
643,0.0,0.0,0.0,0.0,,0,3,0,0,0,0,0
644,1070.0,654.0,0.0,55.0,166.0,1,0,12,0,0,51,0
645,51.0,6700.0,0.0,5.0,,0,3,13,0,3,10,2
646,98.0,5734.0,0.0,4.0,6.5,0,6,6,6,0,71,0
647,138.0,5908.0,0.0,4.0,54.5,0,0,0,0,0,0,0
648,522.0,476.0,1.0,285.0,17.0,1,0,13,0,0,50,0
649,60.0,2151.0,0.0,4.0,17.0,0,0,4,2,0,30,0
650,883.0,748.0,0.0,6.0,91.5,1,0,12,0,0,0,0
651,62.0,6567.0,0.0,6.0,,0,7,14,2,6,4,1
652,91.0,1990.0,0.0,23.0,0.0,0,0,8,2,0,0,0
653,64.0,2901.0,1.0,22.0,1.0,0,0,0,0,0,64,0
654,138.0,6354.0,0.0,4.0,2.5,0,0,0,0,0,0,0
655,44.0,581.0,0.0,0.0,,0,0,0,0,0,0,0
